sentence1	sentence2	gold_label
A man in a red hat carries a black overnight bag, while another in a cowboy hat follows him.	Man with red hat carrying a bag, followed by a man in a cowboy hat.	entailment
A boy in a yellow shirt is eating pizza.	A boy in a yellow shirt is eating something.	entailment
A very crowded city street.	The city street is very crowded.	entailment
An artist creates a human form from cement.	An artist is making a sculpture.	entailment
A group of women and men gather outside of a university building.	There's a bunch of people standing outside	entailment
A man in a blue shirt is stretching.	A man is stretching.	entailment
There are three dogs starring at a ball in the middle of them.	Dogs have a ball.	entailment
A man in a short-sleeved white shirt is standing beside a man in a long-sleeved white shirt with the sleeves rolled up.	The man is in a white shirt.	entailment
Three men, one in a blue shirt, one in a striped shirt and one in a white shirt are talking.	A group of men are having a conversation.	entailment
A young lady being comforted by a man after she has seen something sad and it has made her cry.	a lady is crying	entailment
Person landing a yellow hanglider.	Person landing a hanglider	entailment
A man with a head bandage on is talking on the phone while a Lexus is in the background.	A man with a bandage is on the phone in front of a car.	entailment
A baby is playing outdoors on a sunny day sitting in a colorful kids chair playing with toys, biting the top of a blue toy, with a back drop of green grass and neighborhood fence.	A baby biting a blue toy outside.	entailment
Two construction workers tying something to a crane.	Two workers operate a crane.	entailment
A Boy and a Girl are walking along a wooden trail.	Two people are walking.	entailment
dressed-up participants throw confetti and candy from a float during a parade.	The people are showering the parade-goers with confetti and candy.	entailment
A man sings while surrounding band members play instruments, such as the keyboards, and the drums, while other instruments are unused in the background.	the man is singing.	entailment
The construction worker walks away from the work site to go home.	The construction worker goes home.	entailment
A wet dog runs through the yellow grass holding a tennis ball.	The dog is outside.	entailment
Group of dancers line up in front of Radio City Music Hall.	Dancers in a line	entailment
An older couple and a middle-aged woman tend a garden plot in a fenced yard.	Three people are gardening.	entailment
A woman wearing a pink dress and red boxing gloves poses dramatically in front of several other people.	A woman poses in front of others.	entailment
four kids playfully pose in unusual architectural structure	Four children pose in a structure	entailment
People are walking around and a woman leans on a baby carriage while a large crowd is seen in the background.	People in a crowd.	entailment
Three people sitting in front of stone statues wearing a monkey and goblin mask.	people in costumes	entailment
A man is smiling at a stuffed lion	The man is smiling.	entailment
Eleven children sitting together, holding something up, and laughing.	The children are laughing.	entailment
A woman sits and reads on the front stoop of her building.	A woman is reading.	entailment
A quarterback is pressured to throw the ball as quickly as possible to avoid being sacked.	The quarterback is going to be sacked if he doesn't throw the ball quickly.	entailment
A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.	A woman playfull kicks a man.	entailment
A person in red leaping from a ledge trying to touch the suspended red ball.	Someone is trying to get a ball.	entailment
A black dog is running in a field of grass and another black dog can be seen behind him.	Two dogs in a field.	entailment
A mother and son enjoy so lunch at a Mexican restaurant.	Mum with kid in mexican restaurant having lunch	entailment
A man trains his body pulling a keg.	A man pulling something large.	entailment
A man in a panama hat and aviator glasses converses with another man in a gray sport coat and jeans.	Two men are talking.	entailment
A man in a black sweater holds a baby's arms as she attempt to take a few steps.	A man is touching a baby	entailment
A red convertible is driving down the road and is stopped by an onlooker.	the red convertible is driving down the road	entailment
A man and a woman standing on the street, the woman is hugging the man while the man is yawning.	The man and woman are outdoors.	entailment
Three men are sawing a tree into sections.	Three guys are sawing a tree.	entailment
People gathering near a fountain while it snows.	People are outside around the fountain.	entailment
A man is doing something to a teapot.	The man is handling a teapot.	entailment
Two boys looking out the window of an RV.	Two boys in an RV	entailment
Two kids with blond-hair sit atop a four-wheeler.	Two blonde kids are sitting on an ATV.	entailment
Three men in matching reflective uniforms gather in front of a decorated wall.	There are three men.	entailment
The man stands in a body of water near a waterfall.	A male is standing in the water of a waterfall.	entailment
A Texas baseball player catches the ball as the #12 player from the opposite team slides into base with an umpire standing by, ready to make the call.	people are playing baseball	entailment
A small white dog running out of a tent.	There was a dog in the tent.	entailment
A surfer rides the crashing waves.	A surfer rides the waves.	entailment
A group of people putting colorful crafts together in a small, open shop.	People crafting in a shop.	entailment
A young woman is playing pool.	A woman is playing pool on a pool table.	entailment
People are sitting at square tables in a red room.	There is a red room with people in it.	entailment
Three people are having a friendly conversation.	Three people are talking.	entailment
A shirtless man jumping off a large concrete structure into a river with his friends watching from the structure.	A man is outside with some friends.	entailment
Police officers are arresting a woman.	Someone is being arrested	entailment
The lady in the red car is crossing the bridge.	Someone is crossing.	entailment
Lots of people are walking on the road near several white buildings towards Nationals Park.	lots of people walk on a road near several buildings towards a national park.	entailment
A man on a motorbike riding down a steep rock face	A man is riding a motorbike.	entailment
The little girl in blue jeans is running on the grass.	The girl runs outside.	entailment
Woman standing next to wire tree with ornamental balls hanging from it	A woman stands next to a Christmas tree.	entailment
A man in a brown hat and bowtie with a woman in a red flower hat.	There is a man and woman	entailment
People standing at fence watching motor vehicles in field	People are at a fence.	entailment
It's a snow day so the mother takes her little boy who is in yellow out to make a snowman, and the dog loves to roll in the snow.	The little boy likes the snow.	entailment
A woman teaching or telling a story to a group of children in a classroom.	The teacher is telling a story to a group of children.	entailment
A white shaggy dog wants a bite of its owners ice cream cone.	a dog wants a bite	entailment
A group of people are riding public transportation.	The people are outside using mass transit.	entailment
A crowd is watching a group of people in orange shirts put on an exhibition of some sort.	People in orange shirts are performing.	entailment
A man standing on a railroad track looking through his binoculars at a river.	A man outdoors.	entailment
A woman working on a large machine which she appears to be using to make a blanket of some sort.	A woman using a mechanical device.	entailment
An adult and a kid are both wearing yellow shirts and the child is putting glue on a piece of paper.	A child playing with glue.	entailment
A snowboarder goes up a ramp.	There is a person with a snowboard on the ramp.	entailment
A man on his telephone outside.	Man holding a telephone	entailment
An overhead image of two children and others on dark steps.	People on steps in the dark.	entailment
A motorcyclist on a green bike is airborne.	A person is on a motorcycle.	entailment
Two women walking toward the camera along a sidewalk while wearing a backpack and showing midriff.	Two women are walking on the sidewalk in short tops.	entailment
A man reaches up to work with cables above a desk.	A man reaches up to work	entailment
German Shepherd standing up snapping at droplets of water	There is a German Shepherd snapping.	entailment
Two children look up at the camera while two women prepare grains in a bowl.	Two children look at the camera.	entailment
An underwater photographer swims under the beautiful sea, yet above the white sand in the clear water with a large camera as she takes photo's from underneath the water.	The photographer swims in the ocean	entailment
Little girl jumping in water puddle	A girl is playing in a puddle.	entailment
Some men are sitting or laying around with bags and piles of things around them.	Guys are laying down with junk around them.	entailment
Two boys skateboarding at a park.	Kids are riding skateboards.	entailment
Woman in short-sleeve purple shirt pushing button on street.	A woman is pushing a button	entailment
A group of people locking arms.	Humans locking arms	entailment
A crowd standing in groups on cement area across from parking lot and building in background.	The group was standing across from the parking lot.	entailment
Three men stand on the bed of a truck in front of a lake.	Three men are in front of a lake.	entailment
Three people stand outside a fast food joint with their drinks.	a few people hang out drinking outside	entailment
Two motorists are riding along on their vehicle that is oddly designed and colored.	The motorists are riding along together.	entailment
A woman in a red dress next to a large wall of bricks.	A woman is standing next to a wall.	entailment
An older man with glasses raises his eyebrows in surprise.	a man is surprised	entailment
The shadows of trees are projected onto the field by the sun.	The trees are blocking the sun.	entailment
A man wearing a blue sweatshirt stands outside and writes in a notebook.	The man is outside	entailment
Children study and read on chairs.	The young people are using their brains.	entailment
a fruit stand located inside a store that people are browsing	People are looking at fruit.	entailment
A middle-aged man wearing black is reclined and scowling on a lounge.	A man dressed in black with a sour face.	entailment
An elderly man is outside carrying plants.	the man is carrying his plants.	entailment
A large number of people are showing their disinterest.	There is a group of people.	entailment
An elderly asian man in a suit and tie eats some food in a park with some pigeons.	An old man is eating.	entailment
Man on bike using boxing glove on a stick.	Man is riding his bike with boxing glove.	entailment
A worker straddles the beams of a building being constructed.	the worker is at a construction site	entailment
A woman with a black hoodie and purple flip-flops is sketching on a big pad of paper.	A person is sketching something in a hoodie.	entailment
A man casting a fishing pole.	A man is fishing.	entailment
A child, carrying a closed blue umbrella, is walking with another child who is under a yellow umbrella, on a muddy path.	The children are walking outside.	entailment
A young girl in a red dress in midair	a girl in a red dress	entailment
A little boy sitting outside on the patio, coloring a picture.	A child draws outside the house.	entailment
Three red telephone booths are lined up along a street where two people have stopped with their backs to the camera.	Three telephone booths stand in an urban area.	entailment
a waterskier flying slighty in the air over a wave	A waterskier is going over a wave	entailment
Three people are standing two are women playing instruments the women are dressed in robes with a stained glass window behind them.	The people are musicians.	entailment
People waiting to have their fortunes told.	People are curious of their future.	entailment
A picture of two workers next to a semi truck standing outside the fence of a refinery.	humans outside	entailment
Lady in a blue shirt who seems happy about the paper she is holding.	A woman is reading.	entailment
A kid playing on a swing in a park.	A kid propels themself through the air on a park swing.	entailment
A little boy sits on the shoulders of a man wearing red shirt.	A boy sits on the shoulders of a man.	entailment
A man wearing yellow and blue is walking through a dry field.	A human is outside.	entailment
A man is midair on a bike over some stairs.	A man rides a bike near some stairs.	entailment
A boys soccer team coach talking to his team on a soccer field.	The boys are listening to the coach.	entailment
A man in a green sweater and black vest sitting in a booth.	A man is sitting in a booth.	entailment
Two children are shown upside down.	Kids are not right side up.	entailment
A large amount of people crowded into a subway system.	The people are crowded on the subway.	entailment
A girl with red dreadlocks is talking on the phone.	A female is having a conversation.	entailment
Male wearing brown shirt holding a microphone with an expression of singing.	A man holding a microphone.	entailment
A person with torn orange leggings and black boots is sitting nearby a large crowd of people.	Someone is sitting near a crowd.	entailment
A man selling religious paraphernalia stands in front of a mosque.	A man selling religious wares in front of a mosque	entailment
A dog weaving through an obstacle course.	A dog is on an obstacle course.	entailment
A man with a beard, dressed in black, is smoking.	A man is smoking.	entailment
Eight female dancers in brightly colored dresses on a purple floor, patterned with interlocking rings, look up at the stage lights.	girls dance	entailment
Three Middle Eastern people going through a bunch of glass bottles.	Three people are looking at bottles.	entailment
A young boy holding a newspaper that shows a murder of a man on the cover.	The newspaper has pictures as well as headlines about a murder.	entailment
People outside of an Outdoor World shop.	People are standing outside.	entailment
A man in a plaid shirt is hiding his face as his arms are being held behind him by a man in a black shirt.	A main is hiding his face.	entailment
A mother sewing clothing for her family.	A mother is sitting at a sewing machine.	entailment
A girl with long pigtails and a barbie bag touching the orange poles along with other little girls wearing a white shirt and blue shorts.	A group of girls are surrounding orange poles.	entailment
The man holds the child while the child pets a brown horse.	The person holds the child while the child pets a brown horse.	entailment
A young many wearing a red and blue uniform while playing the upright bass.	There is a young musician playing the upright bass.	entailment
A man in a black suit and a woman wearing a white dress and holding flowers getting married	There is a minister standing between the man and woman.	entailment
A dark-haired main on a bucking bronco.	Guy riding a bull	entailment
Three girls sitting on a rock outside.	Three girls are sitting down outside.	entailment
A man is sitting next to a canal in a green beach chair with an unopened beach umbrella.	The man is outdoors.	entailment
Three men stand at a bar with drinks.	Three guys are drinking in a bar.	entailment
Lots of cyclists ride during a race.	Cyclists are in a large race.	entailment
A man wearing a yellow shirt and black apron is standing in front of an information booth with some newspapers.	a man in an apron stands near a booth	entailment
Two men working to build a steel structure.	Humans working.	entailment
A man racing on a motorbike	A man racing a motorcycle.	entailment
Two dogs running, one brown and one gray	There are two dogs	entailment
There are handprints all over this mat.	The mat has handprints.	entailment
Five people work along the shore in an Asian country.	Five workers on a shore in Asian country.	entailment
Two dogs are making a turn on a soft sand beach.	Two animals are on a beach.	entailment
An Asian boy in a yellow shirt eating.	The boy is eating food.	entailment
Two men drinking beer in a bar.	Two people drinking beer in a bar.	entailment
A waitress at a restaurant is cleaning a table.	A person cleans off a solid surface.	entailment
A man in a black jacket pole-vaulting on the beach.	A man is pole-vaulting.	entailment
Two kids ride their bikes by the ocean, in the evening.	Children ride bikes.	entailment
A trio of men are golfing with a crowd watching.	Some men are in a golf competition.	entailment
An elderly man is standing outside at night.	A man is outside at night.	entailment
Two women, one carrying a purse and papers, are standing on a sidewalk.	Women on a sidewalk.	entailment
A woman standing outside at dawn.	A woman is standing outside.	entailment
Soccer players in a wrestling match.	Athletes are in a wrestling match.	entailment
A group of young men and women drinking beer and cocktails sit in lounge chairs against a brick wall.	A group of young men and women drinking beer	entailment
The old man with the white beard is walking down the street.	An elderly man is walking outdoors.	entailment
There is a cafe on a street corner with an oval painting on the corner of its building.	There are no people in this picture.	entailment
Brown-haired male running and competing in a race.	A male runs in a race.	entailment
A woman is selling handmade hats.	Hats are being sold.	entailment
Two girls crouch in front of a garden of small shrubbery.	There are people in the garden.	entailment
Two cyclists in blue uniforms compete against each other down the bicycle course.	Cyclists are competing	entailment
A young girl sticking out her tongue.	A female child is sticking her tongue out.	entailment
Boats parked at a marina at sunset.	A marina at sunset with boats parked in the slips.	entailment
a girl in a bikini jumps into a pool	The girl in the swimsuit jumps in the water.	entailment
A dirt bike rider wearing a helmet and a pink t-shirt leans into a tight turn on a forest trail.	A person is riding in a forest.	entailment
Two people walk down a sidewalk in between buildings.	two people walking.	entailment
Two young girls with coats on hugging in the middle of winter.	Two girls are hugging in the middle of water.	entailment
The street performers perform live music in front of a crowd of spectators.	there are performers on the street	entailment
A man and woman walking down the street with shopping bag.	A couple walks down the street.	entailment
Skiiers moving along a trail.	The skiiers are in motion.	entailment
A person in an orange parka soaring through the air on a snowboard.	A person is snowboarding.	entailment
A group of workers in a warehouse boxing up merchandise.	The workers are being paid.	entailment
A man washing windows is suspended outside a building on a seat on a rope with a bucket hanging on the side of the seat.	A man is washing windows.	entailment
Happy family taking pictures.	A happy family smiling	entailment
A woman sleeps on the subway, holding a green bag.	The woman is resting.	entailment
A girl wearing a red striped shirt is about to throw a soccer ball onto a field.	A girl throw a soccer ball.	entailment
"A young, blond girl with large glasses holding an orange copy of ""Little People Who Became Great"", by Laura A. Large."	The young girl needs corrective lenses.	entailment
A person dressed in a black shirt and a person dressed in a blue shirt are standing on a mound of sand.	Two people stand and balance their weight.	entailment
Three men, from two teams, are in the air colliding and there is a soccer ball above them.	The men are from two teams	entailment
A crowd watches two females wearing flotation devices jump off of a dock in to water.	Two females are jumping into the water.	entailment
A woman walks down a city sidewalk at night.	The sky is dark.	entailment
A doctor and is staff is operating on a patient.	A doctor is performing an operation.	entailment
A construction worker walking across some train tracks.	A construction worker walking along some train tracks	entailment
A dog stretches its neck out as it shakes off dust.	A dog shakes itself to get rid of dust.	entailment
A man standing on the sidewalk looking into a store that is selling chickens and other prepared foods.	The man on the sidewalk peered into the store.	entailment
A man in a suit relaxes his right leg while speaking at a seminar for a Policy Summit.	The man is not wearing casual attire in this picture.	entailment
A man with a pierced eyebrow is looking at a laptop screen, while a cat is in the background.	The man is on the computer.	entailment
A skateboarder leaps over stairs in a city.	A person is skating down stairs	entailment
A little girl is covered in a towel at a swimming pool.	A little is at the swimming pool.	entailment
two males fighting with an ax at a show.	There is a fighting show in progress.	entailment
Two teen girls are looking at a small electronic device while wearing winter coats.	Two girls keeping warm	entailment
A crowded city sidewalk featuring a man in a yellow plaid shirt smiling on a cellphone.	A man outside on cellphone.	entailment
A blond girl poses for a picture at Kerry Park in Seattle.	A girl is outside in a park.	entailment
A street musician playing.	A street musician is outside.	entailment
A homeless man is sleeping against a wall.	A man is asleep.	entailment
A man and woman in a parking lot at night.	A man and a woman are heading to their cars.	entailment
Some people are fishing on a lake on their boat.	There is a boat with people in it.	entailment
A brick wall has colorful graffiti on it.	There is colorful graffiti on the brick wall.	entailment
A happy gay couple taking a walk through a park.	A happy couple are outside	entailment
A young man in a black shirt playing a xylophone.	A young man is playing a musical instrument	entailment
A number of people are doing a synchronized martial arts performance in the street.	A group of people are performing martial arts.	entailment
Man working on a sculpture.	Someone is creating a work of art.	entailment
A man in a bright blue shirt and khaki shorts holding a water bottle is walking down the path between two steep cavern walls.	The shorts are khaki.	entailment
A man walking away from the camera pulls a three-wheeled cart through a dark alley.	A man walking away from the camera.	entailment
Five men in jeans play in a band on a stage with a brightly colored backdrop.	Five men play music.	entailment
a group of people, some with white helmets and diving gear, and some in life preservers, carrying a gurney with a person on it.	The person was rescued from the water and is being carried away.	entailment
A woman is walking down the street on her cellphone while holding a cup of Coffee.	The woman is talking on her phone.	entailment
A man in a blue shirt is cooking hamburgers on a grill.	A man is making food.	entailment
A brown and white dog jumping up to catch a Frisbee while an audience watches.	Two dogs jumping.	entailment
An old man with blond-hair in a blue shirt and brown hat is playing an accordion.	An old man is playing an instrument	entailment
There are two workers, one on a ladder, against a blue wall with a yellow-and-black stripe.	One worker is on a ladder against a wall while the other worker is not	entailment
A bald man wearing a striped shirt standing between columns and a body of water.	the man is by water	entailment
Stir fry cook prepares food on grill.	A stir fry cook is cooking a meal.	entailment
A man sitting by trees in front of a building.	A man sits in front of a building.	entailment
Woman in tan jacket standing outside and looking up.	There is a person outside.	entailment
Many people are on a crowded brick path walking downhill towards a distant smoking mountain.	People walking down brick path	entailment
Two girls use shovels to dig in the dirt outside.	Some girls are outdoors.	entailment
People are at a party at night.	People are talking with eachother	entailment
A man waits at a crosswalk holding a motorbike helmet.	A man waits at a crosswalk.	entailment
A woman and a man, wearing black shirts, share a dinner conversation.	Two people are sharing a meal.	entailment
A man dressed in orange and black is running a marathon through the streets as people watch.	The man is running a marathon.	entailment
Guy and girl in jackets while guy listens to mobile device	People are hanging out.	entailment
These children are playing on a trampoline outdoors.	The children are jumping up and down.	entailment
Woman in white outfit with red-hair and hat bicycles past a bike store.	A woman rides her bike past the store.	entailment
Road crew dressed in safety green shirts are standing near a white 4 x 4 truck.	Road crew standing near a truck outside.	entailment
A man beginning to waterski wearing a red life jacket.	The man is waterskiing	entailment
A group of people hike up a snow covered mountainside.	A group of people are hiking up a snow covered mountainside.	entailment
A rodeo scene with a big crowd watching three men being thrown from bucking broncos.	A crowd watches three rodeo performers.	entailment
A man in coveralls is maintaining a locomotive.	A man works on a train.	entailment
Two people wearing helmets ride over the yellow and white flowers.	Two peole riding over flowers.	entailment
A young oriental girl and another person are watching a young toddler dressed in a pink sweater and white knit cap.	A girl watches a child	entailment
A man is stocking shelves while people are eating in a restaurant.	A man is putting things on the shelves.	entailment
The young boy in the blue shirt is jumping into the water.	A boy is wearing a shirt.	entailment
Two women wearing headdresses in a sandy area look to the left.	Two women are looking to the left.	entailment
Two barefoot girls are taking a walk with their parents	A family is outside walking.	entailment
White duck flapping its wings in the water.	A duck splashing around.	entailment
Women of different ethnicities stand in a room, holding red and yellow darts.	different people are in a room	entailment
A tugboat is parked at the pier with a house on deck.	A tugboat with a house on deck floats in the water.	entailment
An elderly man drives a unique firetruck.	The man is behind the wheel.	entailment
A girl plays on a red scooter.	A girl plays on a scooter.	entailment
A little boy is holding a soda and a green balloon.	A small boy had a soda pop and balloon.	entailment
A McDonald's sign in the distance beyond a pair of people with colored umbrellas.	People with umbrellas are standing in front of Macdonalds	entailment
A city sidewalk scene consisting of two men with dreadlocks sitting on the ground, a punk rocker holding books, a woman with a camera walking away, and a man wearing a long coat, scarf, hat, and sunglasses looking away from the picture.	three men and a woman stand on a city sidewalk	entailment
A group of children and adults are riding a carnival ride.	People are on a carnival ride.	entailment
A white dog with black spots runs through a field covered in snow.	The ground has snow on it.	entailment
The building has many windows	The building has alot of sunlight	entailment
A group of people that appear to be having a good time.	A group of people having fun.	entailment
A man on a bicycle watching a row of cars waiting to go through a checkpoint.	a man is watching cars while on his bicycle	entailment
A blond girl in a black shirt is writing something.	A girl writes	entailment
A man holding a drink poses with a woman.	A man and woman are standing together.	entailment
A man and a woman are standing at a desk, looking at some papers.	A man and a woman are standing at a desk, looking at papers.	entailment
Two dogs in the snow	There are two animals in snow.	entailment
A man jumping over a white fire hydrant on a skateboard.	While skating a boy is jumping over a fire hydrant with his skateboard	entailment
Demonstration of martial arts by young female in gymnasium.	the female is young	entailment
A child in a shopping cart is looking down at a fish counter.	There is one child in this picture, and he is inside.	entailment
One person helping another person up to the top of a mound of sand underneath a cloudy sky.	One person is helping another to the top of a sand mound.	entailment
A man pumping gas while on his cellphone.	A man is at the gas pump.	entailment
Black dog jumping in the air with white dog standing on grass behind near pile of rocks.	The white dog is standing in the grass.	entailment
Water polo goalie readies himself for an incoming shot.	The water polo goalie is prepared.	entailment
Two young girls are playing basketball in a gymnasium.	youth girls playing basket bal	entailment
A tennis player watches the tennis ball.	A tennis match is occuring.	entailment
A sleeping baby in a pink striped outfit.	The baby is dressed in pink stripes and is asleep.	entailment
Some school aged children are eating chocolate cake at a table with a blue tablecloth.	Some children eating chocolate.	entailment
A young man sits on a chair with one shoe off.	Someone has taken a shoe off.	entailment
A little dog with a red ribbon on its head takes a walk.	A small dog wearing a red ribbon is walking.	entailment
People are walking on a city sidewalk.	People are on the sidewalk.	entailment
Two girls wait on the street while wearing tight, barely there clothing.	Two women are outside on the street.	entailment
A young man in a colorful costume sings into a microphone.	A person is making noise.	entailment
A man with a black mustache cuts meat with a large knife.	A man with a black mustache demonstrates his skills as a butcher.	entailment
Man plays fetch with his dog near a boat dock.	A man plays with his dog.	entailment
A young Asian boy leaps for joy into a pool of water, his tongue stuck out for joy.	A young man jumps for joy into a pool while his tongue was sticking out.	entailment
A man with a black tank top and a woman with a bikini top dance while twirling batons on fire.	A man and a woman are dancing with twirling batons.	entailment
Two men standing on a sidewalk with a tiny dog with a pink lacy collar on.	Two men are with a dog.	entailment
A smiling man of Asian descent is sitting in his slightly-untidy cubicle at a desktop computer with several windows open, both hands poised in proper keyboarding position.	Asian man working on computer	entailment
Two dogs tussling on a dog bed, with a french door and a Persian rug in the background.	A pair of dogs in a dog bed in a fancy house.	entailment
Several men wearing ornate cultural costumes dance barefooted for people seated at tables.	A group of men dance for a crowd.	entailment
An elderly man in a brown shirt and jeans walks by a woman in a sweatshirt and jeans holding a baby in a pink sweatshirt.	A woman is holding a baby.	entailment
A man with a purple tie is singing into a microphone.	A man is singing.	entailment
A worker in a checkered shirt weighs out produce behind a stand that offers exotic foods.	A man is weighing fruits and vegetables.	entailment
A girl in a white coat takes pictures.	the girl is wearing a white coat	entailment
The man in the glasses is working on a laptop computer.	A person with a laptop.	entailment
A player for the Oklahoma Sooners football team punts the ball during a game.	The football team said a prayer.	entailment
An elderly man sits next to his shoes and jacket while leaning against a wall.	The man is near his shoes.	entailment
Three men stand outside a restaurant smoking and conversing.	There is smoke rising from the men.	entailment
Some people with black belts, or black and red belts, are performing martial arts on a green mat.	Martial artists perform on green mats.	entailment
Two men in shorts and sandals are carrying food and drinks at a farmers market.	Men shopping their local market.	entailment
A young girl and an older man are checking out at the food store.	There are people in a food store buying items.	entailment
A group of men are playing soccer.	The men are playing soccer together.	entailment
A man in black shirt and cargo pants adds paper to a wooden and paper structure.	A person dressed in black is working on a structure.	entailment
A child leans over a display made up of blue and yellow plastic, while an adult looks on.	the kid is playing with his toy	entailment
A child looking at desserts with awe.	A child looking at food	entailment
Young girl grabs low hanging phone while a man walks away.	a young girl grabs a phone	entailment
horseback riding in the mountains	Outdoor activities	entailment
A little girl is being shown how to use the rock wall by an instructor.	A little girl is being taught.	entailment
Construction workers are working together to carry a piece of equipment.	A construction crew is carrying some equipment.	entailment
Two men standing in a sleeping area.	Two men are standing.	entailment
Three white men in t-shirt jump into the air.	Three men are jumping.	entailment
A man kissing a boy's head while sitting in the back of a vehicle.	A man is kissing the boy in the car.	entailment
The young girls joke around while the volleyball is bouncing in the air.	Younng girls playing volleyball outside joke with one another as the volleyball bounces nearby.	entailment
Two males are riding an elephant throw a path from a river.	The men are sitting on an animal.	entailment
"Three men in military uniforms and one man in a shirt that says ""Canada"" are cutting a ribbon."	Four men are tending to the cutting of a ribbon.	entailment
Two women jog down the street.	Two women running down street	entailment
A young girl, with ringlets of curls, plays a game on her blue Game Boy.	A blue Game Boy is being played by a young girl with curls.	entailment
Three people are in an airport with one laying on the ground, a woman sitting against the window and a man standing with his luggage.	A group of people are inside a building.	entailment
A female athlete attempts a vault over a pole while spectators take pictures.	A female athlete is vaulting.	entailment
A kayaker traverses some churning rapids.	A person is kayaking.	entailment
A woman sits near the water washing clothes in the river.	Someone is doing laundry.	entailment
A child standing and stirring a pot of food.	A child is preparing a pot of food.	entailment
two sexy girls helping promote or advertise a new product with an onlooking audience.	Some women are standing in front of a crowd of people.	entailment
Two women holding open umbrellas wait for a young girl to open her umbrella.	There are two women	entailment
"A skier is posing for a photo near an ""experts only"" sign a top of a large mountain."	A skier poses for a photo.	entailment
A man in a yellow shirt is running in a race.	There is a man running.	entailment
A man is holding a long tool with a blade attached at the end.	A man is using a tool.	entailment
A woman works at the potter's wheel.	The woman is an employee at the pooter's wheel.	entailment
Two girls, wearing their street clothes, are laying on a pulled out sofa-bed.	Two girls lay on a sofa bed.	entailment
A man sitting at the top of a mountain.	A person sitting outdoors.	entailment
A man in a blue welder's helmet, shirt, and jeans is welding the framework of a building on a reddish beam.	A person is doing work on a structure.	entailment
A small group of people with their camels are resting outside of a small village.	There are mammals outside.	entailment
Two people talking, while the man has a beer.	Two people conversing	entailment
Two jockeys, one in yellow, one in blue, riding horses in a race.	Two differing jockeys competing.	entailment
A boy wearing dark clothes is lying on a red blanket at the opening of a tent.	A person lays outside.	entailment
These woman are watching people play tennis from a bench.	A team is playing tennis.	entailment
A man is standing on a street holding a sign.	A man displays a message on a street	entailment
A medical employee wearing scrubs, monitoring equipment.	A medical employee is checking equipment.	entailment
A man walking in front of a colorful wall mural.	Someone is walking.	entailment
A dog runs through shallow water.	A dog runs through water.	entailment
A group of people playing instruments in the woods.	A group of people are outdoors.	entailment
A woman with black hair wearing a turquoise shirt presses a key on an iPad while sitting at a table with craft supplies on it.	The woman is wearing green.	entailment
2 teams of men playing football.	People are playing football.	entailment
2 men in safety vests haul a hose out of a body of water.	Men are pulling a hose out of the water.	entailment
A little boy is playing with a yellow car on the sidewalk.	The little boy is outside.	entailment
A brown dog bites a purple mitten in the snow.	a dog bit a mitten	entailment
A singer who is shy about singing, gets stage fright.	The singer has stage fright.	entailment
The kid is sliding down a tan plastic slide.	The kid is sliding.	entailment
Men and women strolling in the park on the sidewalk.	People are enjoying a walk in the park	entailment
A man singing into a microphone.	A man singing	entailment
A woman, decoratively dressed, bears a big load down a cobblestone path.	A person outside.	entailment
Two men install a statute and sign on top of a tree.	Two men are installing a statue.	entailment
A group of young adults gather and drink at a party.	The young adults are at a party with friends	entailment
Workers in yellow safety vests plant a tree in a city walkway.	An urban tree planting is taking place.	entailment
Dog digs in sand	Dogs are digging.	entailment
A woman with a walkie talkie and a bicycle helmet and bicycle standing near another woman in a black jacket.	A woman in a helmet and a woman in a leather jacket.	entailment
A dimly lit room with several individuals including a young man and woman holding hands across a table.	Some people are sitting around a table.	entailment
A woman wearing a shirt that has risen up from the waist of her jeans.	A woman wearing clothes.	entailment
"A large group of protesters sitting in front of a sign reading ""We are demanding""."	People are in front of a sign.	entailment
Three men working on a bicycle on a cobblestone street.	Three men are working on a bicycle.	entailment
A white dog running over a bridge.	There is a white dog running.	entailment
A boy throws a soccer ball from the sidelines in a soccer game.	A boy throws a ball	entailment
A crowd of people gathered in front of a building at night.	There are people are outside the building.	entailment
A woman with long dark hair standing in front of a window.	A person stands next to a window	entailment
A bulldozer digging a whole in the ground.	There a bulldozer is digging.	entailment
A man with a guitar is at a microphone while the drummer seems to be resting and the other guitarist has his back to him.	The drummer is not playing his drums.	entailment
A clown is outside and blowing up a balloon with a pump.	The clown in outdoors.	entailment
A man with a red fishing pole catching a very small fish.	A very small fish wriggles at the end of a red fishing pole line.	entailment
A woman in a black shirt and blue jeans is running away.	The woman has two feet.	entailment
Boy sliding down a slide on his knees.	A boy sliding down a slide.	entailment
Two girls on separate teams fighting for a soccer ball.	a couple of girls are playing soccer	entailment
A girl in a dress is jumping in the air with legs bent while another girl in pink watches.	The girl is jumping	entailment
A person with a backpack stands on a rocky bank beside a body of water.	A backpacker stands on a rocky bank.	entailment
Men standing on ladders repairing the windows of a building.	Men on ladders are repairing windows.	entailment
Three Asian youth pose for a photo.	Three people are getting their picture taken.	entailment
A woman is taking a picture of a monkey.	A woman taking a picture of monkeys.	entailment
Photographer captures his shadow as he photographs young boys mingling on the lawn.	Young boys are sparing in the lawn.	entailment
